,Feature,Coefficient,Abs_Coefficient
16,Approval_rate,3.5450950163569073,3.5450950163569073
3,Course,-1.3337424832681308,1.3337424832681308
11,Tuition_fees_up_to_date,0.9282807536985673,0.9282807536985673
13,Scholarship_holder,0.3786680636923762,0.3786680636923762
17,Average_grade,-0.3641193446404326,0.3641193446404326
10,Debtor,-0.30491257772730596,0.30491257772730596
14,Age_at_enrollment,-0.28080794309082274,0.28080794309082274
7,Mothers_occupation,0.26989929880464403,0.26989929880464403
1,Application_mode,-0.24472686845604885,0.24472686845604885
15,Total_approved_Curricular_units,0.19340934236654866,0.19340934236654866
0,Marital_status,0.1774251340370797,0.1774251340370797
12,Gender,-0.17122679817362538,0.17122679817362538
8,Fathers_occupation,-0.1272246585055452,0.1272246585055452
6,Fathers_qualification,0.0990195879572519,0.0990195879572519
9,Displaced,-0.09444362653064127,0.09444362653064127
4,Previous_qualification,0.09002330798118541,0.09002330798118541
5,Mothers_qualification,-0.04604673014250497,0.04604673014250497
2,Application_order,0.018240398157704698,0.018240398157704698
